DESCRIPTION,Month,ENCOUNTERCLASS,DISPENSES,TOTALCOST,RandomState,CityLookup,Year
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, September 1, 2002",outpatient,1,260.78,California,,2002
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, December 1, 2002",outpatient,1,260.78,California,,2002
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, March 1, 2003",outpatient,1,260.78,California,,2003
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, June 1, 2003",outpatient,1,260.78,California,,2003
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, July 1, 2003",outpatient,1,260.78,California,,2003
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, January 1, 2004",outpatient,1,260.78,California,,2004
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, February 1, 2004",outpatient,1,260.78,California,,2004
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, June 1, 2004",outpatient,1,260.78,California,,2004
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, September 1, 2004",outpatient,1,260.78,California,,2004
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, January 1, 2005",outpatient,1,260.78,California,,2005
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, March 1, 2005",outpatient,1,260.78,California,,2005
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, May 1, 2005",outpatient,1,260.78,California,,2005
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, August 1, 2005",outpatient,1,260.78,California,,2005
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, September 1, 2005",outpatient,1,260.78,California,,2005
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, November 1, 2005",outpatient,1,260.78,California,,2005
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, April 1, 2006",outpatient,1,260.78,California,,2006
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, July 1, 2006",outpatient,1,260.78,California,,2006
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, December 1, 2006",outpatient,1,260.78,California,,2006
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, January 1, 2007",outpatient,1,260.78,California,,2007
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, February 1, 2007",outpatient,1,260.78,California,,2007
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, May 1, 2007",outpatient,1,260.78,California,,2007
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, August 1, 2007",outpatient,1,260.78,California,,2007
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, November 1, 2007",outpatient,1,260.78,California,,2007
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, April 1, 2008",outpatient,1,260.78,California,,2008
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, May 1, 2008",outpatient,1,260.78,California,,2008
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, July 1, 2008",outpatient,1,260.78,California,,2008
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, September 1, 2008",outpatient,1,260.78,California,,2008
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, February 1, 2009",outpatient,1,260.78,California,,2009
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, March 1, 2009",outpatient,1,260.78,California,,2009
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, April 1, 2009",outpatient,1,260.78,California,,2009
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, May 1, 2009",outpatient,1,260.78,California,,2009
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, June 1, 2009",outpatient,1,260.78,California,,2009
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, August 1, 2009",outpatient,1,260.78,California,,2009
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, November 1, 2009",outpatient,1,260.78,California,,2009
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, January 1, 2010",outpatient,1,260.78,California,,2010
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, February 1, 2010",outpatient,1,260.78,California,,2010
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, April 1, 2010",outpatient,1,260.78,California,,2010
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, May 1, 2010",outpatient,1,260.78,California,,2010
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, June 1, 2010",outpatient,1,260.78,California,,2010
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, July 1, 2010",outpatient,1,260.78,California,,2010
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, March 1, 2015",outpatient,1,260.78,California,,2015
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, April 1, 2015",outpatient,1,260.78,California,,2015
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, June 1, 2015",outpatient,1,260.78,California,,2015
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, December 1, 2015",outpatient,1,260.78,California,,2015
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, March 1, 2016",outpatient,1,260.78,California,,2016
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, December 1, 2016",outpatient,1,260.78,California,,2016
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, May 1, 2017",outpatient,1,260.78,California,,2017
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, June 1, 2017",outpatient,1,260.78,California,,2017
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, August 1, 2017",outpatient,1,260.78,California,,2017
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, December 1, 2017",outpatient,1,260.78,California,,2017
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, February 1, 2018",outpatient,1,260.78,California,,2018
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, June 1, 2018",outpatient,1,260.78,California,,2018
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, February 1, 2019",outpatient,1,260.78,California,,2019
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, April 1, 2019",outpatient,1,260.78,California,,2019
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, May 1, 2019",outpatient,1,260.78,California,,2019
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, September 1, 2019",outpatient,1,260.78,California,,2019
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, November 1, 2019",outpatient,1,260.78,California,,2019
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, January 1, 2020",outpatient,1,260.78,California,,2020
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, February 1, 2020",outpatient,1,260.78,California,,2020
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, April 1, 2020",outpatient,1,260.78,California,,2020
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, July 1, 2020",outpatient,1,260.78,California,,2020
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, November 1, 2020",outpatient,1,260.78,California,,2020
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, February 1, 2021",outpatient,1,260.78,California,,2021
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, March 1, 2021",outpatient,1,260.78,California,,2021
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, July 1, 2021",outpatient,1,260.78,California,,2021
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, September 1, 2021",outpatient,1,260.78,California,,2021
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, January 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, February 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, March 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, April 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, May 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, August 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, September 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, October 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, November 1, 2022",outpatient,1,260.78,California,,2022
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, February 1, 2023",outpatient,1,260.78,California,,2023
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, June 1, 2023",outpatient,1,260.78,California,,2023
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, November 1, 2023",outpatient,1,260.78,California,,2023
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, January 1, 2024",outpatient,1,260.78,California,,2024
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, February 1, 2024",outpatient,1,260.78,California,,2024
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, April 1, 2024",outpatient,1,260.78,California,,2024
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, July 1, 2024",outpatient,1,260.78,California,,2024
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, August 1, 2024",outpatient,1,260.78,California,,2024
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, September 1, 2024",outpatient,1,260.78,California,,2024
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, January 1, 2025",outpatient,1,260.78,California,,2025
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, February 1, 2025",outpatient,1,260.78,California,,2025
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, March 1, 2025",outpatient,1,260.78,California,,2025
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, April 1, 2025",outpatient,1,260.78,California,,2025
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, May 1, 2025",outpatient,1,260.78,California,,2025
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, June 1, 2025",outpatient,1,260.78,California,,2025
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, September 1, 2025",outpatient,1,260.78,California,,2025
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, March 1, 1976",wellness,1,260.78,Florida,,1976
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, March 1, 1977",wellness,1,260.78,Florida,,1977
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, April 1, 1978",wellness,1,260.78,Florida,,1978
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Sunday, April 1, 1979",wellness,1,260.78,Florida,,1979
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, April 1, 1980",wellness,1,260.78,Florida,,1980
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, April 1, 1981",wellness,1,260.78,Florida,,1981
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, April 1, 1982",wellness,1,260.78,Florida,,1982
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, April 1, 1983",wellness,1,260.78,Florida,,1983
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, May 1, 1984",wellness,1,260.78,Florida,,1984
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, May 1, 1985",wellness,1,260.78,Florida,,1985
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, May 1, 1986",wellness,1,260.78,Florida,,1986
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, June 1, 1990",wellness,1,260.78,Florida,,1990
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, July 1, 1991",wellness,1,260.78,Florida,,1991
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, July 1, 1992",wellness,1,260.78,Florida,,1992
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, December 1, 1992",wellness,1,260.78,Florida,,1992
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, July 1, 1993",wellness,1,260.78,Florida,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, December 1, 1993",wellness,1,260.78,Florida,,1993
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, July 1, 1994",wellness,1,260.78,Florida,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, December 1, 1994",wellness,1,260.78,Florida,,1994
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, August 1, 1995",wellness,1,260.78,Florida,,1995
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Monday, January 1, 1996",wellness,1,260.78,Florida,,1996
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, August 1, 1996",wellness,1,260.78,Florida,,1996
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Wednesday, January 1, 1997",wellness,1,260.78,Florida,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, August 1, 1997",wellness,1,260.78,Florida,,1997
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Thursday, January 1, 1998",wellness,1,260.78,Florida,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Tuesday, September 1, 1998",wellness,1,260.78,Florida,,1998
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Friday, January 1, 1999",wellness,1,260.78,Florida,,1999
120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],"Saturday, January 1, 2000",wellness,1,260.78,Florida,,2000
